,x,y,aspect,awc,clay,Dis_habitat_suitable_1,Dis_habitat_suitable_2,Dis_habitat_suitable_3,distance_bridleway,distance_cycleway,distance_footway,distance_motorwayandlink,distance_path,distance_pedestrian,distance_primaryandlink,distance_residentil,distance_secondaryandlink,distance_steps,distance_tertiaryandlink,distance_trunkandlink,distance_unclassified,elev,fpc.corrected,group,habit0pc,habit1,habit1pc,habit2,habit2pc,habit3,habit3pc,hpop,lot_density,nitro,rain,roadk,s1_residential_dist,s1_secondry_dist,s1_unclassified_dist,s2_residential_dist,s2_secondry_dist,s2_unclassified_dist,s3_residential_dist,s3_secondry_dist,s3_unclassified_dist,sbd,temp,tpo,twi,presence_1,Presence_2,presence_0
849,510330,6989598,244.631472,13.5122919,29.80714203,4242.640625,3162.277588,20124.61133,29068.88371,1000,0,9486.832981,2000,21931.7122,1000,0,1000,2236.067977,0,16643.31698,1000,3.685070368,141.7417807,1,100,2672.424886,0,2555.214426,0,13764.22116,0,1070.761822,1020,0.127065524,20,16.54771587,5414.213562,3414.213562,3414.213562,3414.213562,3000,3000,14828.42712,14828.42712,14828.42712,1.02713553,20,0.038116906,9.643322646,0,0,1
4802,468330,6940598,46.06358055,14.48012018,19.50818213,2828.427246,4123.105469,3000,22847.31932,7810.249676,2236.067977,6082.76253,8485.281374,8944.27191,5656.854249,1000,1000,9055.385138,1000,1000,1000,56.78506238,123.3725469,1,100,1881.165523,0,242.7392424,0,2655.502086,0,130.1067377,24,0.127317251,19,0,1000,1000,1000,1000,1414.213562,1000,2828.427125,2828.427125,2828.427125,1.082970486,19,0.040616532,8.477958087,0,0,1
5097,463330,6937598,274.5563194,14.51996307,22.89489691,3162.277588,1000,1414.213623,27784.88798,13453.62405,5656.854249,11180.33989,14212.6704,14764.82306,11000,5000,4000,5656.854249,1000,6324.55532,3000,71.81607828,115.2092479,1,100,1440.1699,0,529.3485007,15,297.102095,0,3.910830547,8,0.128022837,19,0,1000,1000,1000,0,0,0,0,0,0,1.103748111,19,0.030278878,7.88275275,0,1,1
5298,464330,6935598,288.3257591,13.94455156,18.47024448,3605.55127,0,1000,29068.88371,14212.6704,7810.249676,10770.32961,14866.06875,15000,10000,6403.124237,5830.951895,7810.249676,1000,6403.124237,2236.067977,59.68807565,119.9860059,21,96,1453.546145,0,815.88999,4,196.1166173,7,5.269658694,6,0.130646476,19,0,0,0,0,0,0,0,0,0,0,1.082707104,19,0.0377871,9.179101751,1,0,0
5498,464330,6933598,77.68241116,14.51259846,19.29076402,5385.165039,2000,1000,30870.69808,15811.3883,9433.981132,11661.90379,16401.21947,16278.8206,10049.87562,7810.249676,7071.067812,9433.981132,3000,7810.249676,2000,51.92869709,134.4194962,1,100,1453.546145,0,815.88999,0,196.1166173,16,2.503063545,4,0.132100588,19,0,1414.213562,1414.213562,1414.213562,1000,1000,1000,0,0,0,1.088421752,19,0.033506236,9.716115965,0,0,0
4898,464330,6939598,240.5701733,14.89507096,20.64833561,2236.067871,0,3605.55127,25553.86468,11313.7085,4472.135955,10000,12206.55562,13000,9433.981132,4123.105626,2000,5385.164807,2000,5000,1000,70.99863962,134.5420453,1,100,736.7129306,0,1142.085871,0,2383.589388,0,4.840081637,17,0.132628722,19,0,1414.213562,1414.213562,1414.213562,0,0,0,2414.213562,2414.213562,2414.213562,1.099453586,19,0.032164583,8.422155736,1,1,1
2228,452330,6969598,186.5289079,14.18770664,22.19066839,4123.105469,3605.55127,4123.105469,20615.52813,26019.22366,14317.82106,20615.52813,24041.63056,19235.38406,14764.82306,10000,0,28861.73938,10000,33615.47263,5099.019514,74.1074083,131.1821825,3,100,1816.539593,0,1325.645054,0,2805.567964,0,30.27723207,25,0.132909626,20,1.491230865,2000,2414.213562,2000,1000,1000,1000,3000,3000,3000,1.104966003,20,0.031896218,8.592910931,1,0,0
3320,492330,6956598,123.0752834,13.85133007,19.34224836,3162.277588,9486.833008,3162.277588,2828.427125,0,0,2828.427125,2828.427125,1000,0,0,0,2828.427125,0,7211.102551,1414.213562,25.11883835,144.0805426,3,100,1702.427158,0,1284.940933,0,477.9603115,0,920.5227312,311,0.135020198,20,11.65551303,3414.213562,2000,2000,5828.427125,2414.213562,1414.213562,4000,2414.213562,1414.213562,1.065599384,20,0.05388293,9.669610484,1,1,1
4803,469330,6940598,102.7935536,13.8999569,21.14402524,3605.55127,5099.019531,3000,22472.20505,7211.102551,1414.213562,5099.019514,7810.249676,8062.257748,5000,0,0,10049.87562,0,0,0,54.77926515,126.9448203,3,100,906.9264468,0,242.7392424,9,2655.502086,0,160.8745092,189,0.135320499,19,0.664004276,1000,1000,1000,1000,1000,1000,2414.213562,2414.213562,2414.213562,1.088982967,19,0.043696656,8.667903246,1,1,1
1359,497330,6982598,212.0766004,13.66672588,15.46246984,2000,7280.109863,5385.165039,16643.31698,1000,1000,4000,1000,9219.544457,1000,0,2236.067977,1000,0,8062.257748,1000,23.73430445,145.151088,5,100,1678.05843,0,2566.725513,0,2626.508914,0,1082.731986,607,0.135484439,20,15.96347612,2414.213562,1414.213562,2000,2414.213562,1414.213562,2414.213562,5000,3000,3000,1.049601118,20,0.043769009,8.926188406,1,0,1
